sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
SRR9224529	am	2.58661590929	97	22704	10190219	216.130572051	340.718525004
SRR9224528	am	1.96597456578	74	11471	5150778	107.502050568	167.875770642
SRR9224244	am	2.22498087313	14	35	24917	0.309124447141	0.0
SRR9224245	am	2.25460159453	75	9927	4627750	90.1323587008	143.89022118
SRR9224246	am	2.58435165483	87	24591	10582407	241.878386522	362.137429312
SRR9224247	am	2.38556896881	83	13720	6074633	136.442687387	195.739600315
SRR9224243	am	2.53228772414	82	19328	8660882	184.784886661	281.857062689
SRR9224312	am	2.48057856384	84	16939	7643524	159.151573412	256.807091768
SRR9224248	am	2.76367844205	105	17736	7718276	170.286945923	246.928229655
SRR9224372	am	2.5513556879	80	11591	5146669	112.751601908	163.717393612
SRR9224315	am	2.48959368861	80	14156	6399226	130.815317314	205.386062751
SRR9224370	am	2.43836205451	91	26439	10711646	253.813616457	375.489835126
SRR9224431	am	2.73872075443	116	22214	9995295	213.352372703	313.601115379
SRR9224428	am	2.50826479864	78	11242	4942934	109.780348399	161.739567809
SRR9224429	am	2.29615590151	70	11706	5100831	110.95853349	170.860253349
SRR9224259	am	2.15011263784	75	10379	4584052	101.179749285	148.267310735
SRR9224156	am	1.94030543704	66	7634	3367915	74.0659407311	108.329727442
SRR9224511	am	2.53854401015	75	10440	4453434	102.612364014	145.143156921
SRR9224389	am	2.07319134516	79	14215	6314957	143.65427637	199.662550918
SRR9224344	am	2.32983128055	80	20130	8867319	190.659180865	306.864835795
SRR9224422	am	2.54921571843	84	10166	4630547	97.9360102769	149.74732684
SRR9224423	am	2.8322257167	88	13721	6496445	126.366291965	194.634951995
SRR9224424	am	2.4095726461	82	12031	5524814	112.30408179	171.362511039
SRR9224425	am	2.39785748879	79	11626	5257928	104.81532665	166.090359835
SRR9224426	am	2.5078535646	88	14284	5997513	133.032625054	207.683010301
SRR9224254	am	2.29050135095	72	7337	3170664	72.620204542	100.821288977
SRR9224542	am	2.4688012779	88	21679	9270404	205.422053131	312.160952466
SRR9224541	am	2.55787111532	83	21351	8571661	203.985929893	306.382740474
SRR9224540	am	2.45767490121	100	18300	8181126	167.553118058	268.336446969
SRR9224477	am	2.36441207786	84	13101	5757395	127.241858482	187.778705512
SRR9224359	am	2.14497204854	69	9016	3965951	79.7717370039	128.293097407
SRR9224476	am	2.26844558254	77	13212	5648319	128.823913035	180.295199459
SRR9224533	am	2.50636127167	76	17752	7530570	171.888033985	254.066468129
SRR9224475	am	2.27934713533	93	21673	9509110	207.382731009	307.921415085
SRR9224474	am	2.10914293439	79	23003	9136624	224.904906739	333.520014812
SRR9224146	am	2.31795895535	95	12687	5447172	120.576571355	190.064400836
SRR9224478	am	2.25647624875	82	11034	4757550	108.778382682	159.017657783
SRR9224509	am	2.41185276868	79	13395	5733463	132.143085435	192.796737469
SRR9224229	am	2.11114572232	57	8046	3456798	79.0946695603	111.78525901
SRR9224436	am	2.31174712551	88	21243	8551542	213.494469898	302.761703098
SRR9224224	am	2.43269104789	97	22281	10349775	206.70086156	332.383865947
SRR9224508	am	2.3930379771	68	7905	3384404	77.2116292618	111.202176903
SRR9224223	am	2.49788277364	86	20378	9343344	193.66988069	315.896328111
SRR9224220	am	2.24314415603	74	18896	8139768	192.232019791	273.743034447
SRR9224430	am	2.54392912499	88	16174	6915502	152.104575577	242.252323196
SRR9224536	am	2.21965141606	80	12108	4998526	118.899185086	166.576944579
SRR9224537	am	2.35299878909	93	14765	5833648	136.5141914	206.681467308
SRR9224534	am	2.22384175686	100	25013	10287844	242.886408595	345.156012729
SRR9224535	am	2.36346425845	82	10293	4290466	100.191387858	151.238769124
SRR9224338	am	2.65226201605	75	13066	5204119	126.019294718	179.064071001
SRR9224339	am	2.8858960321	97	15334	6322413	149.042186265	213.329741354
SRR9224530	am	2.30875338253	79	10264	4772155	90.3514766781	150.054597172
SRR9224421	am	2.50153856954	78	17059	7676535	166.757887736	249.801792609
SRR9224334	am	2.38313294471	79	14756	6096103	144.020568491	209.215738729
SRR9224335	am	2.93879747426	93	11408	5417184	104.750996325	160.124645528
SRR9224336	am	2.39242968331	76	12364	5447658	117.096463264	182.97951739
SRR9224337	am	2.26238138112	70	8568	3630066	83.4058052336	121.981895867
SRR9224330	am	2.54686058019	77	10163	4658320	99.0088563414	151.028915615
SRR9224331	am	2.95733233985	104	14897	7367781	141.538420434	217.689094111
SRR9224332	am	2.46063196806	87	27458	11846960	270.272926817	399.589928939
SRR9224333	am	2.73880077536	96	15433	6281860	146.625982544	214.810208303
