sample_id	subject_id	shannon_diversity	species_richness	total_reads_MIDAS	total_reads_orig	total_avg_marker_coverage	total_med_marker_coverage
700105306	764325968	2.77746628762	117	138939	106796512	1293.79593399	1291.18443249
700038918	355657046	1.66047578096	8	42	70628	0.411492290121	0.0
700109383	370425937	2.14383452652	116	73640	74737596	742.184831435	748.397157032
700109921	159085930	2.90682512581	77	15803	11000718	168.072887635	146.283534166
700110155	246515023	1.83856706003	102	100367	97141666	988.221528673	1091.93204232
700102848	159288231	2.43844751614	77	11459	8972814	115.64108045	104.935831645
700102432	160158126	2.7856401238	145	208366	121651500	2071.81816979	2128.11115886
700113616	763536994	2.48208252248	84	61410	90430558	576.761535381	555.154471188
700113114	764467579	2.99216949076	184	84843	57719354	872.619808443	872.455093156
700110354	650853796	2.75323595975	124	66767	48206646	688.08442719	636.110138518
700111223	866653606	1.676109278	113	134985	72817594	1378.35114375	1315.80578921
700110812	809635352	3.01536643709	136	85233	113442936	867.883066695	927.075824586
700114162	289996019	1.31197998666	104	56862	35920162	574.821225956	546.717592424
700111439	451588811	2.72412131135	99	66375	47265130	690.056802706	653.590095651
700114000	763395383	2.6508087559	139	101889	64497710	1056.96477858	1037.62029029
700111296	763721271	2.72748003898	329	279044	217015658	2625.06333645	2832.95437814
700111986	159510762	2.87143059279	77	15246	10835698	154.442259547	143.205440245
700111745	872848689	2.20125822687	75	13978	11566882	144.022348003	126.906159914
700114653	763901136	2.72180447723	123	104274	95267502	957.793613524	1016.00661145
700114911	561079058	1.71333941601	109	46686	42507590	463.855077977	618.732136459
700114125	763840445	3.08410211784	142	113979	87159250	1121.86757755	1220.32403422
700114480	764042746	2.25866298925	112	156980	113753708	1568.83408659	1474.74149868
700111026	686765762	2.12147676722	76	37380	22166702	379.418699881	373.347656498
700113177	809362576	2.68556254163	151	68091	49759566	692.004185583	690.669926465
700111505	336497421	0.865487440022	129	153447	87437122	1549.99799771	1488.89046262
700111156	257905678	2.92053068113	137	73209	52529492	762.007336971	731.800741675
700114218	663835652	3.03903383998	136	46787	31456072	472.856602647	475.02356185
700114082	764062976	2.6654775292	121	134003	116734970	1286.26686207	1250.13714677
700101134	159733294	3.08680236862	93	9444	8327736	95.549421442	83.6504593947
700112046	160421117	2.13705549331	149	148771	89495738	1519.78918382	1492.66782696
700112376	160380657	1.94876495879	148	157289	104724744	1569.0481938	1597.53048932
700112433	159146620	2.58178759142	88	74965	49898792	763.431339883	780.862202417
700112490	160178356	2.88480494721	150	124465	90935532	1257.53667942	1238.88364111
700112755	160603188	2.76891025026	140	103992	73404138	1095.47452512	1107.54956059
700112812	158883629	1.87383144292	87	124605	111041338	1139.57767582	1115.05513139
700113705	234447334	1.94287480435	133	59997	41956062	602.775354915	582.869606445
700113762	367712035	3.38648847011	173	81090	69122832	829.227366992	801.083120703
700113810	763921366	2.83574922802	126	79996	53879132	823.234106255	804.884974508
700113867	488228756	3.02095073446	183	142988	82866034	1465.51535186	1431.69046606
700113954	763456073	2.99744178541	163	7062	6627696	75.2434324071	55.5933733692
700113975	884419868	2.88771976341	185	111263	82593938	1164.74038508	1184.94965102
700116028	991168867	2.69118580341	181	109412	68686288	1129.37507804	1112.78149763
700116076	765195863	2.99990372146	134	56135	43525676	588.404533056	551.953605654
700116148	993302508	1.54005239954	134	83833	49050590	860.567390999	808.560297465
700116201	764588959	2.46065406654	146	124245	114240072	1255.75961576	1221.35092008
700116248	668248235	2.9538727377	172	64744	44244044	689.15517891	693.76198384
700116296	764791260	2.66819719782	112	47585	39811730	492.233558332	497.62346246
700116358	763982056	2.2554292895	199	236009	154426846	2447.35889783	2375.42168827
700116401	980939909	2.84350573289	159	106454	78141596	1110.46123042	1157.05695574
700116468	375450439	2.39497214865	134	265667	174075090	2641.23042776	2686.0943876
700116505	268204421	2.85608305122	160	85582	55690816	881.476227394	896.910616824
700116568	763395383	2.9055776489	181	147106	98585102	1519.51490867	1483.08721853
700116611	763820215	2.02408969511	221	260738	166651988	2631.46200697	2540.13520502
700116668	722859603	3.20416725872	191	46733	71069160	469.707629721	448.14111739
700116730	868454789	2.86199080868	156	77992	51422264	786.0949689	757.34665859
700116778	764285508	2.7274184848	220	225055	125418532	2270.62006337	2254.57239846
700116828	764508039	2.13171370149	136	317565	211526350	3278.89223779	3235.88061313
700116865	872298013	2.59651897572	143	72842	45541304	745.073690779	804.683627638
700116917	360880230	1.40439984647	179	132907	77763372	1327.61438038	1461.04410208
700119042	159753524	2.37245091818	271	469864	308373630	4851.57575017	4871.6821387
700119165	158802708	2.98096641932	165	116654	83238334	1186.89796107	1194.17947296
700119307	159288231	1.43333280903	63	16403	9536878	164.976612768	162.723019814
700119496	159227541	2.17165337068	131	141119	115904544	1352.62079834	1421.01656982
700119562	158944319	2.92489687058	173	125502	90570058	1326.93237062	1306.9770442
700119739	159207311	2.43486818094	178	150366	104715158	1524.53659847	1594.86212788
700119987	160319967	2.47633475742	166	148308	101163438	1547.90216574	1681.32590004
700117000	764366428	2.71030830455	150	263383	189883828	2708.10188144	2681.73013169
700117031	305070461	3.14721212051	196	110478	70766202	1128.03872263	1094.18872571
700117069	884797910	2.4943135514	208	160175	93802092	1627.9742502	1633.97546401
700117172	525622796	2.83909578738	126	67867	53671170	706.413844211	683.329703277
700117184	612472597	2.97731738178	148	49308	40881122	489.644388052	498.93728328
700117625	550534656	2.56344550164	181	235196	199424990	2450.76697836	2634.82985721
700117682	763921366	2.92452584006	193	204544	172222264	2082.47635536	2068.28906354
700117755	764467579	3.11038231007	186	204663	166582800	2053.68454623	2177.46346559
700117766	731256356	3.0197451939	140	60521	40906174	625.325744278	621.866810401
700117828	765094712	3.08957653777	223	225568	143877708	2267.86728607	2330.31716703
700117938	763557224	1.78905527119	119	158774	125216530	1610.0765759	1569.25826517
700117992	765135172	2.55147958299	146	170090	153772760	1719.07025501	1765.05054877
700120753	686765762	2.1110541318	157	164541	92073696	1670.93519013	1586.5406238
700121639	160259276	2.95871893649	89	15706	10131382	164.98432837	147.482973585
700122000	160056975	2.18455852601	58	12619	9181436	129.047027911	128.33950367
700122108	604812005	3.01965424568	218	232146	145072838	2417.71721332	2371.4290581
700122165	638754422	2.69959449147	145	104533	67468770	1094.66321196	1071.73489206
700161532	675950834	2.09537406052	131	374742	233433584	3783.11485518	3901.88314314
700161581	765216093	1.34913931054	147	76101	39775726	762.851870057	804.000083045
700161629	765539774	2.47326680508	148	93671	55204186	967.602533981	931.725202384
700013588	158155345	3.23395312595	116	36623	31999512	374.861662647	326.14962067
700013597	158013734	2.80044009127	119	29605	23180078	308.902387443	304.972342203
700013600	158033964	2.9130886152	121	38679	28701686	374.01540934	347.198781112
700013603	158114885	2.58270296229	100	65116	39468100	667.587398376	650.822090206
700013672	158276726	2.99639466103	145	47901	30867226	492.733225399	471.341801328
700013693	158296956	2.7352736151	125	29534	23841900	297.003651342	304.827584737
700014386	158398106	2.90958696101	138	61730	44271002	645.678240049	612.836941738
700014486	158438567	2.23743655775	102	36275	26781814	365.471325541	348.310072633
700014498	158418336	3.3027378927	129	42071	27932560	435.385618701	416.368514176
700016000	158964549	2.35922079188	80	66861	41854510	692.56086184	665.855450027
700016902	159389382	2.49307659434	103	71836	43547984	747.568571852	699.028690148
700033436	159470302	2.45040055022	110	65670	37439246	683.791880008	592.596662786
700033726	159713063	2.42506357065	100	45087	34512272	466.77099145	435.989346498
700034565	158033964	3.26458762071	116	42420	28992956	428.542062548	396.740277567
700095058	157953044	2.69521245825	110	74365	40424284	780.618926475	766.006027539
700095287	158296956	2.80318999224	150	58572	45482926	593.73283549	604.89520335
700095353	158398106	2.93084012402	96	61067	47899254	650.824173616	622.25330626
700095410	158418336	2.94164327324	100	48223	34945874	497.984004391	537.747019605
700097234	158216035	2.01562917261	93	57033	32139082	581.098776563	568.415980126
700097631	158155345	3.16221968122	105	25903	23559470	261.36765288	239.467418426
700098359	158458797	2.64795338994	88	27199	25288960	280.690082105	260.405256582
700098867	650853796	2.67548418487	97	64619	41437588	671.227620603	645.100731508
700098932	158236265	2.1894458591	88	43292	30923094	444.404228777	466.915496057
700099002	158114885	2.39773415839	107	66398	41915598	684.210008571	635.271628969
700099059	158276726	3.37038413514	140	46039	44850492	473.275586022	451.805365544
700099590	158438567	1.01325472585	82	44148	36067274	442.512906352	454.645207054
700099746	158964549	2.00941260354	61	71087	40594898	744.792064975	693.216516977
700120572	763721271	1.97476458043	75	93644	57580462	969.638926618	924.94444512
700161742	508703490	2.50739228898	121	244331	186842520	2607.66837181	2475.43406324
700161856	765195863	3.07420154595	150	146550	155444040	1496.87300065	1584.53929121
700161872	103092734	2.43071656548	105	82278	50084266	847.394758724	874.829488464
700161945	764649650	2.99265776831	135	183791	181049778	1886.94864162	1896.80125892
